,Source,Text,Date,Compound Score,Positive Score,Neutral Score,Negative Score
74,BBC,"?? When the weather is this cold, a simple act of kindness can go a long way. https://t.co/NwJ0FoSOzD",Fri Mar 02 19:00:09 +0000 2018,0.4588,0.167,0.833,0.0
75,BBC,"What is the #AttenboroughEffect?
?? https://t.co/qO3nY8tEl6 https://t.co/bJSh6V20WC",Fri Mar 02 18:00:11 +0000 2018,0.0,0.0,1.0,0.0
76,BBC,KILTED YOGA! https://t.co/4wlS4cr85R,Fri Mar 02 17:30:03 +0000 2018,0.0,0.0,1.0,0.0
77,BBC,"RT @mixital: ?Are you loving @BBCOne’s Troy? Join our new creative challenge and create your own #Troy fan art!

Grab these images from our…",Fri Mar 02 15:43:22 +0000 2018,0.9184,0.454,0.546,0.0
78,BBC,"Meet George, a 99-year-old swimmer from Australia who appears to have smashed a world record for his age group. ???… https://t.co/4VsUws6lI3",Fri Mar 02 15:03:04 +0000 2018,0.0,0.0,1.0,0.0
79,BBC,"You might know your British comedy, but how well do you know your British comedy award-winners?… https://t.co/TKHDZQ3tNW",Fri Mar 02 14:30:11 +0000 2018,0.7684,0.353,0.647,0.0
80,BBC,"Lego's leaves, bushes and trees are going green! ???The Danish toymaker says they will be made with plastic sourced… https://t.co/BUTkdp7dBe",Fri Mar 02 14:03:04 +0000 2018,0.0,0.0,1.0,0.0
81,BBC,"? Are these the most offensive questions ever asked in job interviews?
? https://t.co/bzi7uVzVAL https://t.co/yaBdPGQ2m0",Fri Mar 02 13:00:04 +0000 2018,-0.5095,0.0,0.785,0.215
82,BBC,When London Fashion meets the technology behind Star Wars. https://t.co/M2QJ5HGx8W,Fri Mar 02 12:00:05 +0000 2018,-0.5574,0.0,0.714,0.286
83,BBC,?He's @BAFTA's 2018 Rising Star and a contender for Best Actor at the #Oscars this weekend - read 9 things… https://t.co/eRvLb5oque,Fri Mar 02 10:53:03 +0000 2018,0.6908,0.263,0.737,0.0
84,BBC,RT @bbcrb: So it's NEVER too cold to go swimming in the sea ????? https://t.co/fvtt3D7u3o,Fri Mar 02 10:09:18 +0000 2018,0.0,0.0,1.0,0.0
85,BBC,RT @bbcthree: Kerry and Kurtan had a proper go at snapchat filters.... #thiscountry https://t.co/2gxzCvuie1,Fri Mar 02 10:09:01 +0000 2018,0.0,0.0,1.0,0.0
86,BBC,"RT @BBCR1: So, apparently @LiamPayne paid for Michael and Calum from @5SOS' very first tattoos when they were on tour with @OneDirection...…",Fri Mar 02 10:08:18 +0000 2018,0.0,0.0,1.0,0.0
87,BBC,"RT @bbcarts: If you're snowed in on Friday, spend the day with the #Civilisations box set on @BBCiPlayer &amp; at 18:30 watch our live event wi…",Fri Mar 02 10:07:52 +0000 2018,0.0,0.0,1.0,0.0
88,BBC,RT @BBCScotlandNews: Watch a husky pull a skier... in Glasgow's Partick https://t.co/eAWWjQnAXS,Fri Mar 02 10:06:53 +0000 2018,0.0,0.0,1.0,0.0
89,BBC,RT @BBCFOUR: Today is our 16th birthday! We launched #onthisday in 2002… and we’ve loved every minute of it. ? #SixteenYearsFresh https://t…,Fri Mar 02 10:05:43 +0000 2018,0.69,0.231,0.769,0.0
90,BBC,"More than 1,000 members of the public have been invited to the grounds of Windsor Castle for Prince Harry and Megha… https://t.co/EGTJPQEm96",Fri Mar 02 10:02:04 +0000 2018,0.0,0.0,1.0,0.0
91,BBC,"That view! ?
#OurBluePlanet #BluePlanet2 https://t.co/1kHthPUfxg",Fri Mar 02 09:00:07 +0000 2018,0.0,0.0,1.0,0.0
92,BBC,A recently discovered photo collection by the late photographer David Granick reveals London's East End in colour.… https://t.co/GPbx6fdmF1,Fri Mar 02 08:30:16 +0000 2018,0.0,0.0,1.0,0.0
